Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Haledon borough,Passaic,"Haledon borough, Passaic",2020,1.2,190,"8,298",63%,12%,3%,21%,54%,"2,912","$72,635",7.6%,,45,66,169,"2,985","2,912",98%,43%,57%,,13,90,54,334,533,529,461,221,750,909,60,"1,241",248,61,103,363,0,0,82%,11%,5%,2%,0%,0%,"4,463",84%,9%,1%,0%,0%,2%,1%,3%
Hamburg borough,Sussex,"Hamburg borough, Sussex",2015,1.2,191,"3,209",92%,3%,2%,2%,8%,"1,415","$75,179",6.6%,,29,205,74,"1,530","1,415",93%,84%,16%,,10,166,274,563,38,110,65,22,282,664,412,17,90,192,134,21,0,0,63%,5%,5%,27%,0%,0%,"1,614",96%,0%,0%,0%,0%,0%,1%,2%
Hamburg borough,Sussex,"Hamburg borough, Sussex",2020,1.2,191,"3,149",88%,1%,1%,10%,17%,"1,392","$75,182",5.3%,,30,210,74,"1,444","1,392",96%,74%,26%,,26,225,265,340,112,62,130,33,251,632,365,134,60,186,67,0,0,0,56%,13%,2%,25%,3%,0%,"1,676",91%,1%,0%,0%,0%,0%,0%,8%
Hamilton township,Atlantic,"Hamilton township, Atlantic",2015,112.9,192,"26,861",62%,20%,8%,9%,15%,"9,684","$60,838",11.8%,,40,81,301,"10,605","9,684",91%,71%,29%,,149,"2,404","1,179","2,423","1,728",877,631,307,907,"6,005","1,746",250,310,818,865,360,251,0,64%,17%,5%,11%,2%,1%,"13,044",92%,4%,0%,0%,0%,1%,2%,1%
Hamilton township,Atlantic,"Hamilton township, Atlantic",2020,112.9,192,"25,856",65%,14%,7%,14%,13%,"9,802","$73,333",8.3%,,40,102,301,"10,767","9,802",91%,71%,29%,,773,"2,687","1,535","1,752","1,407",611,771,427,804,"6,248","1,645",236,540,796,702,159,441,0,68%,19%,3%,7%,2%,1%,"12,076",93%,1%,2%,0%,0%,0%,0%,2%
Hamilton township,Mercer,"Hamilton township, Mercer",2015,40.3,193,"89,055",79%,12%,4%,5%,13%,"33,496","$70,996",7.0%,,27,237,"1,690","35,773","33,496",94%,73%,27%,,170,"2,393","1,889","4,080","4,979","5,833","8,936","2,636","4,857","22,852","3,903","1,993","1,080",994,"2,773","2,134",32,12,79%,11%,1%,8%,0%,1%,"44,735",91%,4%,0%,0%,0%,1%,0%,3%
Hamilton township,Mercer,"Hamilton township, Mercer",2020,40.3,193,"87,258",74%,15%,4%,7%,17%,"32,683","$81,356",7.0%,,29,228,"1,690","34,633","32,683",94%,73%,27%,,591,"2,037","1,839","3,646","4,673","5,890","7,878","2,841","5,238","22,611","4,089","1,195","1,040",891,"2,428","2,142",178,59,79%,13%,1%,6%,0%,1%,"45,337",90%,3%,0%,0%,0%,1%,0%,5%
Hammonton town,Atlantic,"Hammonton town, Atlantic",2015,41.3,194,"14,735",85%,4%,2%,10%,19%,"5,368","$62,798",10.5%,,39,93,460,"5,883","5,368",91%,70%,30%,,50,910,595,546,810,598,769,316,"1,289","4,258",342,422,251,130,210,262,8,0,67%,10%,1%,21%,0%,1%,"7,028",86%,3%,0%,0%,2%,3%,5%,2%
Hammonton town,Atlantic,"Hammonton town, Atlantic",2020,41.3,194,"14,046",80%,4%,1%,15%,23%,"5,183","$72,184",12.4%,,42,85,460,"5,730","5,183",91%,73%,27%,,39,907,710,701,761,545,595,314,"1,158","4,115",476,457,138,247,146,136,15,0,67%,14%,2%,16%,0%,1%,"6,386",88%,1%,1%,0%,0%,5%,2%,4%
Hampton borough,Hunterdon,"Hampton borough, Hunterdon",2015,1.5,195,"1,213",88%,2%,8%,2%,4%,510,"$72,045",5.5%,,27,233,22,545,510,94%,70%,30%,,0,25,9,64,82,62,50,15,238,393,6,29,46,22,19,30,0,0,9%,21%,9%,56%,3%,1%,616,99%,0%,0%,0%,0%,0%,0%,1%
Hampton borough,Hunterdon,"Hampton borough, Hunterdon",2020,1.5,195,"1,182",92%,4%,3%,2%,7%,541,"$67,411",10.4%,Yes,36,144,22,578,541,94%,69%,31%,,3,38,3,98,95,39,73,25,204,414,6,10,26,15,57,33,17,0,18%,25%,6%,48%,1%,3%,609,91%,4%,0%,0%,0%,0%,0%,5%
Hampton township,Sussex,"Hampton township, Sussex",2015,25.5,196,"5,056",96%,1%,1%,2%,9%,"2,096","$76,127",4.0%,,22,339,73,"2,287","2,096",92%,92%,8%,,5,154,258,462,438,416,258,89,207,"1,760",269,19,20,51,0,0,168,0,24%,10%,7%,51%,7%,1%,"2,677",90%,0%,0%,0%,0%,2%,2%,6%
Hampton township,Sussex,"Hampton township, Sussex",2020,25.5,196,"4,865",93%,2%,2%,3%,6%,"1,946","$88,388",6.7%,,25,292,73,"2,166","1,946",90%,90%,10%,,0,158,231,461,435,360,216,138,167,"1,685",290,6,36,19,0,0,130,0,24%,11%,13%,47%,4%,0%,"2,485",87%,0%,0%,0%,0%,2%,0%,11%
Hanover township,Morris,"Hanover township, Morris",2015,10.7,197,"14,174",83%,1%,15%,1%,5%,"5,404","$113,816",2.8%,,15,462,353,"5,655","5,404",96%,85%,15%,,175,531,"1,115",499,759,649,"1,327",265,335,"4,029",512,69,131,246,323,345,0,0,88%,7%,1%,3%,0%,0%,"7,075",93%,3%,0%,0%,0%,0%,0%,4%
Hanover township,Morris,"Hanover township, Morris",2020,10.7,197,"14,371",79%,2%,16%,4%,9%,"5,854","$125,762",2.3%,,16,460,353,"6,046","5,854",97%,79%,21%,,483,458,"1,050",419,817,983,"1,359",219,258,"4,135",576,225,104,535,245,226,0,0,89%,9%,0%,3%,0%,0%,"7,722",89%,3%,0%,0%,0%,0%,1%,7%
Harding township,Morris,"Harding township, Morris",2015,20.6,198,"3,895",89%,0%,9%,2%,3%,"1,439","$171,331",3.3%,,5,562,46,"1,606","1,439",90%,91%,9%,,45,205,123,311,240,180,111,61,330,"1,313",179,9,26,55,0,24,0,0,84%,5%,0%,9%,0%,3%,"1,579",83%,10%,0%,0%,0%,3%,0%,4%
Harding township,Morris,"Harding township, Morris",2020,20.6,198,"3,794",94%,2%,1%,3%,3%,"1,567","$141,197",4.6%,,13,511,46,"1,769","1,567",89%,77%,23%,,47,140,200,308,195,184,135,206,354,"1,532",163,0,8,66,0,0,0,0,83%,3%,0%,13%,0%,0%,"1,431",74%,16%,0%,0%,0%,0%,0%,10%
Hardwick township,Warren,"Hardwick township, Warren",2015,39.0,199,"1,460",97%,1%,2%,1%,2%,536,"$105,556",6.0%,,20,377,3,585,536,92%,92%,8%,,10,89,101,102,128,35,30,6,84,579,6,0,0,0,0,0,0,0,1%,10%,20%,55%,14%,1%,724,89%,3%,0%,0%,0%,1%,1%,7%
Hardwick township,Warren,"Hardwick township, Warren",2020,39.0,199,"1,519",95%,1%,1%,3%,5%,527,"$95,625",11.4%,,28,243,3,594,527,89%,89%,11%,,14,67,78,146,98,29,38,20,104,565,4,0,9,8,0,0,8,0,4%,5%,18%,67%,5%,2%,702,88%,2%,0%,0%,0%,2%,1%,7%
Hardyston township,Sussex,"Hardyston township, Sussex",2015,32.6,200,"8,098",96%,1%,2%,1%,3%,"3,267","$94,665",2.5%,,17,433,153,"3,897","3,267",84%,86%,14%,,31,"1,099",595,490,367,566,432,163,154,"2,405","1,003",51,149,135,88,12,54,0,45%,6%,5%,40%,4%,0%,"4,505",89%,3%,0%,0%,0%,1%,1%,7%
Hardyston township,Sussex,"Hardyston township, Sussex",2020,32.6,200,"7,815",87%,7%,0%,6%,8%,"3,111","$105,767",4.5%,,23,321,153,"3,645","3,111",85%,81%,19%,,97,"1,013",301,462,464,326,538,264,180,"2,144",996,40,75,173,205,12,0,0,42%,13%,11%,30%,2%,2%,"3,943",89%,4%,0%,0%,0%,0%,1%,6%
Harmony township,Warren,"Harmony township, Warren",2015,24.1,201,"2,592",98%,0%,1%,0%,1%,971,"$81,146",4.8%,,23,315,48,"1,033",971,94%,92%,8%,,7,85,85,116,145,125,204,75,191,"1,007",19,2,0,0,0,0,5,0,1%,8%,9%,70%,6%,5%,"1,323",95%,0%,0%,0%,0%,1%,1%,3%
Harmony township,Warren,"Harmony township, Warren",2020,24.1,201,"2,703",95%,2%,3%,0%,2%,"1,026","$80,455",8.4%,,26,270,48,"1,130","1,026",91%,87%,13%,,0,59,24,195,142,146,180,48,336,"1,054",6,37,19,0,0,0,14,0,7%,6%,9%,66%,10%,2%,"1,333",91%,0%,0%,0%,0%,1%,1%,7%
Harrington Park borough,Bergen,"Harrington Park borough, Bergen",2015,2.1,202,"4,764",79%,1%,18%,2%,7%,"1,564","$128,088",4.9%,,13,509,29,"1,564","1,564",100%,88%,12%,,0,124,136,88,149,251,396,104,316,"1,336",61,64,9,30,0,56,8,0,87%,6%,2%,5%,0%,1%,"2,049",80%,7%,0%,0%,0%,2%,1%,10%
Harrington Park borough,Bergen,"Harrington Park borough, Bergen",2020,2.1,202,"4,735",77%,0%,19%,4%,4%,"1,746","$135,750",7.7%,,16,459,29,"1,796","1,746",97%,97%,3%,,50,51,120,137,276,284,398,50,430,"1,677",12,21,0,0,20,66,0,0,90%,8%,0%,2%,0%,0%,"2,306",79%,9%,0%,0%,0%,2%,1%,10%
Harrison town,Hudson,"Harrison town, Hudson",2015,1.3,203,"14,629",50%,1%,19%,30%,46%,"5,203","$56,713",13.8%,Yes,40,87,273,"5,513","5,203",94%,29%,71%,,332,567,216,515,"1,149",429,669,322,"1,314",526,234,"2,089","1,303",451,218,689,3,0,81%,11%,2%,5%,0%,1%,"7,053",52%,31%,0%,0%,0%,11%,3%,4%
Harrison town,Hudson,"Harrison town, Hudson",2020,1.3,203,"18,313",43%,6%,21%,31%,50%,"7,474","$66,699",15.6%,Yes,34,162,273,"7,852","7,474",95%,24%,76%,,"2,063",401,396,464,685,838,619,375,"2,011",592,240,"2,069","1,400",788,404,"2,359",0,0,59%,31%,5%,3%,0%,2%,"10,116",45%,38%,0%,0%,1%,9%,1%,6%
Harrison township,Gloucester,"Harrison township, Gloucester",2015,19.0,204,"12,742",91%,5%,2%,3%,3%,"4,057","$127,975",2.8%,,14,485,145,"4,123","4,057",98%,89%,11%,,89,"1,177","1,120",749,251,218,114,48,357,"3,526",356,40,41,21,41,98,0,0,73%,12%,2%,11%,3%,0%,"6,464",91%,1%,0%,0%,0%,5%,0%,3%
Harrison township,Gloucester,"Harrison township, Gloucester",2020,19.0,204,"13,049",93%,3%,2%,2%,3%,"4,272","$147,662",2.3%,,13,512,145,"4,525","4,272",94%,92%,8%,,535,"1,319","1,239",393,262,432,102,32,211,"4,080",244,7,46,9,34,105,0,0,80%,8%,3%,9%,0%,1%,"6,635",85%,2%,0%,0%,0%,1%,0%,12%
Harvey Cedars borough,Ocean,"Harvey Cedars borough, Ocean",2015,1.3,205,416,99%,0%,0%,1%,0%,222,"$69,167",6.3%,,23,322,26,"1,201",222,19%,95%,5%,Yes,4,167,113,239,214,261,94,32,77,"1,030",11,150,1,0,0,0,9,0,77%,19%,0%,2%,0%,2%,121,73%,2%,0%,0%,5%,8%,0%,12%
Harvey Cedars borough,Ocean,"Harvey Cedars borough, Ocean",2020,1.3,205,452,95%,0%,2%,3%,0%,234,"$99,500",6.6%,,15,470,26,"1,221",234,19%,94%,6%,Yes,88,194,118,228,157,216,101,60,59,"1,136",22,49,9,4,0,1,0,0,76%,16%,0%,4%,0%,3%,185,76%,6%,0%,0%,3%,3%,1%,10%
Hasbrouck Heights borough,Bergen,"Hasbrouck Heights borough, Bergen",2015,1.5,206,"12,100",83%,2%,11%,4%,10%,"4,471","$81,460",6.0%,,23,321,201,"4,548","4,471",98%,66%,34%,,51,174,107,74,243,633,"1,593",514,"1,159","3,062",161,505,215,0,81,475,49,0,80%,8%,1%,11%,0%,0%,"5,961",84%,12%,0%,0%,0%,1%,1%,2%
Hasbrouck Heights borough,Bergen,"Hasbrouck Heights borough, Bergen",2020,1.5,206,"12,026",74%,7%,12%,7%,20%,"4,250","$95,784",9.5%,,26,280,201,"4,469","4,250",95%,68%,32%,,93,120,72,176,219,585,"1,296",823,"1,085","2,977",93,563,356,35,64,381,0,0,85%,8%,2%,6%,0%,0%,"6,367",75%,14%,1%,0%,0%,3%,3%,4%
Haworth borough,Bergen,"Haworth borough, Bergen",2015,2.3,207,"3,451",81%,1%,16%,2%,2%,"1,134","$160,526",0.9%,,7,559,41,"1,151","1,134",99%,94%,6%,,0,69,39,35,86,170,363,61,328,"1,139",0,7,0,0,0,5,0,0,94%,3%,1%,2%,0%,0%,"1,796",73%,14%,0%,0%,0%,1%,1%,11%
Haworth borough,Bergen,"Haworth borough, Bergen",2020,2.3,207,"3,400",75%,2%,14%,8%,3%,"1,084","$181,500",2.3%,,8,547,41,"1,141","1,084",95%,96%,4%,,48,30,33,33,41,219,288,102,347,"1,141",0,0,0,0,0,0,0,0,95%,2%,1%,0%,0%,2%,"1,500",69%,12%,0%,0%,0%,1%,0%,17%
Hawthorne borough,Passaic,"Hawthorne borough, Passaic",2015,3.4,208,"18,989",94%,1%,2%,3%,17%,"6,829","$82,532",5.3%,,23,304,390,"7,170","6,829",95%,65%,36%,,21,237,285,571,724,825,"1,438","1,012","2,057","3,693",402,"2,335",103,174,174,289,0,0,81%,8%,2%,8%,0%,0%,"10,083",89%,4%,0%,0%,0%,3%,0%,3%
Hawthorne borough,Passaic,"Hawthorne borough, Passaic",2020,3.4,208,"18,762",78%,6%,1%,15%,28%,"7,138","$103,586",4.6%,,26,275,390,"7,372","7,138",97%,62%,38%,,108,456,300,751,851,889,"1,282",998,"1,737","3,570",472,"2,419",122,111,298,380,0,0,88%,7%,2%,3%,0%,0%,"10,645",89%,4%,0%,0%,0%,2%,1%,4%
Hazlet township,Monmouth,"Hazlet township, Monmouth",2015,5.7,209,"20,185",91%,3%,5%,1%,8%,"7,129","$84,871",5.7%,,25,272,379,"7,434","7,129",96%,88%,12%,,35,336,386,767,"1,430","1,783","2,206",266,225,"6,029",254,60,68,171,0,229,623,0,83%,7%,4%,5%,0%,0%,"9,674",84%,11%,1%,0%,0%,1%,1%,2%
Hazlet township,Monmouth,"Hazlet township, Monmouth",2020,5.7,209,"19,793",89%,2%,3%,5%,10%,"7,282","$105,479",3.7%,,25,293,379,"7,507","7,282",97%,90%,10%,,201,179,478,781,"1,121","1,503","2,754",234,256,"6,243",245,49,60,23,69,167,651,0,86%,9%,1%,4%,0%,1%,"10,333",87%,8%,0%,0%,0%,1%,1%,4%
Helmetta borough,Middlesex,"Helmetta borough, Middlesex",2015,0.9,210,"2,350",82%,5%,11%,2%,11%,857,"$74,554",4.9%,,24,284,11,948,857,90%,80%,20%,,0,152,180,250,89,58,90,24,105,499,90,11,18,79,247,4,0,0,95%,3%,0%,1%,0%,2%,"1,174",88%,8%,0%,0%,0%,1%,0%,3%
Helmetta borough,Middlesex,"Helmetta borough, Middlesex",2020,0.9,210,"2,232",86%,2%,5%,7%,16%,915,"$94,116",2.3%,,24,308,11,938,915,98%,76%,24%,,7,136,157,215,84,29,88,69,153,450,74,6,0,16,321,71,0,0,92%,6%,0%,2%,0%,0%,"1,345",95%,2%,0%,1%,0%,0%,0%,3%
High Bridge borough,Hunterdon,"High Bridge borough, Hunterdon",2015,2.4,211,"3,581",94%,3%,2%,1%,5%,"1,505","$81,250",2.7%,,25,266,43,"1,536","1,505",98%,81%,20%,,0,26,39,239,357,129,163,48,535,"1,242",79,82,52,68,5,0,8,0,27%,16%,7%,45%,4%,2%,"1,700",88%,6%,0%,0%,0%,1%,1%,5%
High Bridge borough,Hunterdon,"High Bridge borough, Hunterdon",2020,2.4,211,"3,460",84%,3%,10%,3%,11%,"1,384","$96,029",14.1%,,35,150,43,"1,446","1,384",96%,76%,24%,,0,19,60,211,302,86,161,56,551,"1,045",116,177,42,11,18,8,29,0,31%,23%,5%,38%,3%,1%,"1,767",90%,1%,0%,0%,0%,1%,1%,7%
Highland Park borough,Middlesex,"Highland Park borough, Middlesex",2015,1.8,212,"14,263",71%,7%,14%,8%,14%,"5,690","$68,837",11.1%,,25,269,191,"6,046","5,690",94%,41%,59%,,40,251,325,341,543,950,994,513,"2,089","2,298",161,676,"1,152",278,412,"1,069",0,0,71%,14%,2%,12%,0%,1%,"7,402",74%,11%,0%,0%,4%,5%,1%,5%
Highland Park borough,Middlesex,"Highland Park borough, Middlesex",2020,1.8,212,"13,803",66%,9%,16%,9%,12%,"6,034","$83,980",8.1%,,27,252,191,"6,437","6,034",94%,42%,58%,,289,220,336,628,876,"1,014",836,253,"1,985","2,291",493,652,"1,096",337,552,"1,016",0,0,75%,16%,1%,6%,0%,1%,"7,396",72%,7%,1%,0%,3%,5%,1%,12%
Highlands borough,Monmouth,"Highlands borough, Monmouth",2015,0.9,213,"4,947",92%,2%,1%,5%,7%,"2,530","$62,770",12.1%,,31,187,93,"3,420","2,530",74%,65%,35%,Yes,92,189,268,412,"1,042",222,376,132,687,"1,671",256,74,181,230,456,369,183,0,57%,40%,0%,2%,0%,1%,"2,806",74%,16%,1%,0%,0%,4%,1%,5%
Highlands borough,Monmouth,"Highlands borough, Monmouth",2020,0.9,213,"4,746",91%,1%,4%,4%,3%,"2,671","$76,263",5.3%,,34,156,93,"3,249","2,671",82%,72%,28%,,201,89,39,737,850,97,67,200,969,"1,247",126,171,221,554,361,526,43,0,70%,28%,2%,0%,0%,0%,"2,578",73%,16%,1%,0%,0%,1%,1%,8%
Hightstown borough,Mercer,"Hightstown borough, Mercer",2015,1.3,214,"5,529",69%,6%,1%,24%,37%,"2,068","$71,174",6.5%,,29,201,106,"2,236","2,068",93%,61%,40%,,23,143,78,441,152,362,203,151,683,"1,116",204,125,240,278,157,105,0,11,75%,9%,1%,13%,0%,2%,"3,072",76%,4%,1%,0%,0%,3%,11%,4%
Hightstown borough,Mercer,"Hightstown borough, Mercer",2020,1.3,214,"5,334",84%,6%,8%,3%,28%,"1,789","$86,291",6.9%,,34,166,106,"1,830","1,789",98%,71%,29%,,37,105,26,360,139,227,350,163,423,"1,180",64,66,103,263,114,40,0,0,81%,9%,1%,7%,0%,2%,"2,956",84%,1%,7%,0%,0%,2%,0%,5%
Hillsborough township,Somerset,"Hillsborough township, Somerset",2015,55.1,215,"39,378",77%,5%,15%,3%,8%,"13,300","$112,788",3.6%,,14,489,471,"14,038","13,300",95%,86%,14%,,394,"1,062","2,436","4,248","3,136","1,110","1,007",226,419,"8,420","3,714",216,177,234,717,560,0,0,77%,15%,1%,7%,0%,0%,"20,710",90%,3%,0%,0%,0%,1%,0%,6%
Hillsborough township,Somerset,"Hillsborough township, Somerset",2020,55.1,215,"39,760",69%,4%,19%,7%,9%,"13,994","$139,313",2.1%,,15,475,471,"14,909","13,994",94%,85%,15%,,"1,007","1,142","2,468","4,307","2,992","1,131",914,113,835,"9,330","3,150",218,364,353,"1,059",427,8,0,79%,11%,1%,7%,0%,1%,"22,232",85%,4%,0%,0%,0%,1%,0%,11%
Hillsdale borough,Bergen,"Hillsdale borough, Bergen",2015,2.9,216,"10,452",88%,1%,7%,4%,10%,"3,550","$108,224",8.2%,,18,419,110,"3,617","3,550",98%,85%,15%,,20,137,91,252,269,659,"1,113",203,873,"3,083",39,220,20,45,42,159,9,0,88%,7%,1%,5%,0%,0%,"4,837",77%,13%,0%,0%,0%,2%,0%,8%
Hillsdale borough,Bergen,"Hillsdale borough, Bergen",2020,2.9,216,"10,317",84%,3%,7%,7%,9%,"3,469","$155,762",3.7%,,17,430,110,"3,550","3,469",98%,88%,12%,,43,76,114,253,220,778,"1,178",182,706,"3,013",158,137,0,29,92,121,0,0,91%,4%,1%,3%,0%,0%,"5,549",76%,9%,1%,0%,0%,1%,0%,14%
Hillside township,Union,"Hillside township, Union",2015,2.8,217,"21,779",29%,57%,3%,11%,17%,"7,242","$59,939",11.5%,,37,114,418,"7,606","7,242",95%,66%,34%,,0,313,308,286,406,612,"1,757","1,491","2,433","4,624",348,"1,500",803,77,60,194,0,0,76%,8%,1%,15%,0%,1%,"9,769",80%,11%,0%,0%,0%,3%,3%,3%
Hillside township,Union,"Hillside township, Union",2020,2.8,217,"21,955",26%,52%,3%,19%,21%,"7,162","$78,779",9.4%,,37,133,418,"7,570","7,162",95%,69%,31%,,57,140,105,149,381,913,"1,663","1,269","2,893","4,608",424,"1,517",749,114,17,101,40,0,80%,6%,1%,10%,0%,2%,"11,776",80%,11%,0%,0%,0%,2%,3%,4%
Hi-Nella borough,Camden,"Hi-Nella borough, Camden",2015,0.2,218,831,68%,11%,4%,16%,9%,353,"$47,589",13.8%,Yes,40,84,14,388,353,91%,28%,72%,,0,0,9,39,96,95,92,10,47,117,2,16,18,109,66,60,0,0,72%,14%,2%,5%,1%,5%,437,87%,7%,0%,0%,0%,4%,1%,1%
Hi-Nella borough,Camden,"Hi-Nella borough, Camden",2020,0.2,218,"1,018",65%,10%,5%,20%,19%,449,"$57,875",7.7%,Yes,40,99,14,459,449,98%,39%,61%,,0,0,45,22,114,96,77,17,88,196,15,21,27,75,72,53,0,0,71%,20%,0%,2%,0%,6%,633,97%,1%,0%,0%,1%,1%,0%,0%
Hoboken city,Hudson,"Hoboken city, Hudson",2015,1.2,219,"52,452",84%,3%,9%,5%,15%,"24,579","$114,381",10.8%,,17,428,975,"26,464","24,579",93%,31%,69%,,492,"6,570","1,955","1,383","1,386","1,813","1,620",772,"10,473",341,950,"1,404","3,873","5,011","2,633","12,252",0,0,62%,33%,2%,2%,0%,1%,"34,416",30%,58%,0%,0%,1%,8%,0%,4%
Hoboken city,Hudson,"Hoboken city, Hudson",2020,1.2,219,"53,283",77%,3%,12%,8%,15%,"24,983","$153,438",7.0%,,16,445,975,"27,740","24,983",90%,35%,65%,,"1,976","5,948","2,685","1,467","1,878","1,609","1,546",778,"9,853",453,684,"1,264","3,672","5,234","2,586","13,825",0,22,57%,37%,2%,2%,0%,2%,"35,161",23%,53%,1%,0%,1%,10%,1%,12%
Ho-Ho-Kus borough,Bergen,"Ho-Ho-Kus borough, Bergen",2015,1.8,220,"4,132",91%,0%,6%,3%,9%,"1,415","$162,386",0.2%,,7,556,44,"1,477","1,415",96%,91%,9%,,6,104,67,52,89,191,337,217,414,"1,379",31,48,8,0,0,11,0,0,90%,5%,0%,5%,0%,0%,"1,922",70%,21%,0%,0%,1%,0%,0%,8%
Ho-Ho-Kus borough,Bergen,"Ho-Ho-Kus borough, Bergen",2020,1.8,220,"4,096",83%,1%,13%,3%,7%,"1,438","$230,682",0.1%,,4,563,44,"1,595","1,438",90%,94%,6%,,19,50,20,0,198,282,395,295,336,"1,460",50,62,8,0,0,15,0,0,94%,4%,0%,1%,0%,0%,"1,951",59%,22%,0%,0%,0%,1%,1%,16%
Holland township,Hunterdon,"Holland township, Hunterdon",2015,23.9,221,"5,195",99%,0%,0%,1%,2%,"1,948","$88,125",2.8%,,18,408,34,"2,115","1,948",92%,93%,7%,,0,173,277,324,332,294,331,72,312,"1,921",79,38,56,10,0,11,0,0,14%,10%,13%,57%,4%,2%,"2,673",94%,1%,0%,0%,0%,0%,0%,5%
Holland township,Hunterdon,"Holland township, Hunterdon",2020,23.9,221,"5,115",99%,1%,0%,0%,1%,"1,846","$105,357",1.8%,,20,383,34,"2,017","1,846",92%,94%,6%,,11,124,331,284,363,266,294,78,266,"1,917",18,0,47,35,0,0,0,0,12%,8%,12%,57%,7%,3%,"2,419",86%,4%,0%,0%,0%,1%,0%,9%
Holmdel township,Monmouth,"Holmdel township, Monmouth",2015,18.1,222,"16,684",74%,2%,20%,4%,6%,"5,535","$136,525",3.3%,,13,502,238,"5,834","5,535",95%,87%,13%,,24,735,"1,413","1,431",803,654,478,89,207,"4,649",554,45,71,17,77,341,80,0,91%,4%,1%,3%,0%,0%,"7,172",73%,17%,0%,0%,0%,1%,0%,9%
Holmdel township,Monmouth,"Holmdel township, Monmouth",2020,18.1,222,"16,652",77%,1%,18%,3%,5%,"5,987","$140,709",4.2%,,15,468,238,"6,275","5,987",95%,87%,13%,,246,765,"1,570","1,058",881,986,414,84,271,"4,841",890,7,6,101,89,292,49,0,92%,4%,1%,4%,0%,0%,"8,074",80%,12%,0%,0%,0%,1%,0%,7%
Hopatcong borough,Sussex,"Hopatcong borough, Sussex",2015,12.4,223,"14,802",91%,2%,3%,3%,10%,"5,592","$76,875",6.6%,,25,276,80,"6,379","5,592",88%,89%,11%,,35,110,273,303,"1,834","1,290","1,500",482,552,"6,037",32,104,65,34,25,37,45,0,6%,18%,7%,66%,2%,1%,"7,477",94%,1%,0%,0%,0%,1%,1%,4%
Hopatcong borough,Sussex,"Hopatcong borough, Sussex",2020,12.4,223,"14,228",85%,3%,4%,8%,19%,"5,555","$97,679",1.9%,,23,318,80,"6,561","5,555",85%,86%,14%,,153,138,223,440,"1,053","1,416","1,946",687,505,"6,162",65,185,25,85,0,39,0,0,6%,23%,8%,60%,2%,1%,"8,562",89%,2%,1%,0%,0%,0%,0%,8%
Hope township,Warren,"Hope township, Warren",2015,18.3,224,"1,882",97%,1%,1%,1%,4%,723,"$89,792",4.6%,,23,318,29,791,723,91%,85%,15%,,3,70,79,125,130,102,104,20,158,769,2,15,0,0,3,0,2,0,2%,9%,8%,67%,13%,2%,973,88%,0%,0%,0%,0%,3%,0%,8%
Hope township,Warren,"Hope township, Warren",2020,18.3,224,"1,897",93%,0%,3%,4%,9%,770,"$97,955",4.7%,,22,352,29,818,770,94%,85%,15%,,5,44,84,146,116,100,90,71,162,809,6,0,0,0,0,0,3,0,2%,7%,12%,63%,14%,2%,"1,025",91%,0%,0%,0%,0%,4%,0%,4%
Hopewell borough,Mercer,"Hopewell borough, Mercer",2015,0.7,225,"1,845",96%,2%,1%,2%,2%,758,"$101,316",1.7%,,15,467,71,776,758,98%,75%,26%,,0,11,42,28,19,89,103,59,425,598,72,57,35,14,0,0,0,0,60%,8%,2%,31%,0%,0%,998,85%,2%,0%,0%,0%,5%,2%,6%
Hopewell borough,Mercer,"Hopewell borough, Mercer",2020,0.7,225,"1,857",97%,0%,1%,1%,5%,719,"$121,215",4.7%,,16,447,71,771,719,93%,76%,24%,,0,40,53,64,19,60,96,39,400,553,83,46,84,5,0,0,0,0,78%,6%,1%,16%,0%,0%,990,73%,3%,0%,0%,0%,8%,1%,15%
